epoch,steps,cos_sim-Accuracy@1,cos_sim-Accuracy@3,cos_sim-Accuracy@5,cos_sim-Accuracy@10,cos_sim-Precision@1,cos_sim-Recall@1,cos_sim-Precision@3,cos_sim-Recall@3,cos_sim-Precision@5,cos_sim-Recall@5,cos_sim-Precision@10,cos_sim-Recall@10,cos_sim-MRR@10,cos_sim-NDCG@10,cos_sim-MAP@100,dot_score-Accuracy@1,dot_score-Accuracy@3,dot_score-Accuracy@5,dot_score-Accuracy@10,dot_score-Precision@1,dot_score-Recall@1,dot_score-Precision@3,dot_score-Recall@3,dot_score-Precision@5,dot_score-Recall@5,dot_score-Precision@10,dot_score-Recall@10,dot_score-MRR@10,dot_score-NDCG@10,dot_score-MAP@100
0,50,0.6625659050966608,0.7416520210896309,0.7838312829525483,0.820738137082601,0.6625659050966608,0.6625659050966608,0.2472173403632103,0.7416520210896309,0.15676625659050963,0.7838312829525483,0.08207381370826011,0.820738137082601,0.7118161910341172,0.7379684816841265,0.7173850512230794,0.655536028119508,0.7434094903339191,0.7873462214411248,0.8224956063268892,0.655536028119508,0.655536028119508,0.2478031634446397,0.7434094903339191,0.15746924428822495,0.7873462214411248,0.08224956063268893,0.8224956063268892,0.7090690992272713,0.7364367353733009,0.7144887344736037
0,100,0.6731107205623902,0.7609841827768014,0.7978910369068541,0.8260105448154658,0.6731107205623902,0.6731107205623902,0.25366139425893375,0.7609841827768014,0.15957820738137082,0.7978910369068541,0.08260105448154657,0.8260105448154658,0.7241861243618708,0.7489152238013433,0.729704987382554,0.664323374340949,0.7662565905096661,0.7996485061511424,0.820738137082601,0.664323374340949,0.664323374340949,0.255418863503222,0.7662565905096661,0.15992970123022848,0.7996485061511424,0.0820738137082601,0.820738137082601,0.7191891929589642,0.7440716068169033,0.725127588594502
0,150,0.6695957820738138,0.7697715289982425,0.804920913884007,0.8471001757469244,0.6695957820738138,0.6695957820738138,0.2565905096660808,0.7697715289982425,0.1609841827768014,0.804920913884007,0.08471001757469243,0.8471001757469244,0.7287890200016734,0.7573433581920481,0.7321324105025254,0.6502636203866432,0.7609841827768014,0.8084358523725835,0.843585237258348,0.6502636203866432,0.6502636203866432,0.25366139425893375,0.7609841827768014,0.1616871704745167,0.8084358523725835,0.0843585237258348,0.843585237258348,0.7155305883337517,0.7466215079906755,0.7189635760449186
0,-1,0.6502636203866432,0.7627416520210897,0.7978910369068541,0.8453427065026362,0.6502636203866432,0.6502636203866432,0.2542472173403632,0.7627416520210897,0.15957820738137082,0.7978910369068541,0.08453427065026362,0.8453427065026362,0.7159050966608084,0.7471343463230157,0.7205128039380333,0.6362038664323374,0.7539543057996485,0.7961335676625659,0.8453427065026362,0.6362038664323374,0.6362038664323374,0.2513181019332162,0.7539543057996485,0.15922671353251316,0.7961335676625659,0.08453427065026362,0.8453427065026362,0.7057208413535303,0.7394180849412973,0.7099431729817169
1,50,0.6608084358523726,0.7574692442882249,0.7926186291739895,0.8383128295254832,0.6608084358523726,0.6608084358523726,0.252489748096075,0.7574692442882249,0.15852372583479787,0.7926186291739895,0.08383128295254834,0.8383128295254832,0.7187937623789996,0.747548756475159,0.7232114904791375,0.6414762741652021,0.7557117750439367,0.7926186291739895,0.8347978910369068,0.6414762741652021,0.6414762741652021,0.25190392501464554,0.7557117750439367,0.15852372583479787,0.7926186291739895,0.08347978910369068,0.8347978910369068,0.7067278991268445,0.7377253603027062,0.7108101785064972
1,100,0.6695957820738138,0.7803163444639719,0.8084358523725835,0.8471001757469244,0.6695957820738138,0.6695957820738138,0.26010544815465725,0.7803163444639719,0.1616871704745167,0.8084358523725835,0.08471001757469243,0.8471001757469244,0.7284689095321781,0.7571696849481803,0.7335222656387415,0.655536028119508,0.7715289982425307,0.7996485061511424,0.8453427065026362,0.655536028119508,0.655536028119508,0.25717633274751023,0.7715289982425307,0.15992970123022848,0.7996485061511424,0.08453427065026362,0.8453427065026362,0.7188425809691185,0.749417277975917,0.7235906278265289
1,150,0.6660808435852372,0.7609841827768014,0.7961335676625659,0.8453427065026362,0.6660808435852372,0.6660808435852372,0.25366139425893375,0.7609841827768014,0.15922671353251316,0.7961335676625659,0.08453427065026362,0.8453427065026362,0.7235968142382904,0.7527972178268051,0.7276792339651847,0.6432337434094904,0.773286467486819,0.7978910369068541,0.8347978910369068,0.6432337434094904,0.6432337434094904,0.25776215582893963,0.773286467486819,0.15957820738137082,0.7978910369068541,0.08347978910369068,0.8347978910369068,0.7122876391329815,0.7421757782008832,0.7170610683505428
1,-1,0.6590509666080844,0.7521968365553603,0.7961335676625659,0.8453427065026362,0.6590509666080844,0.6590509666080844,0.2507322788517867,0.7521968365553603,0.15922671353251316,0.7961335676625659,0.08453427065026362,0.8453427065026362,0.7171911178062319,0.7478426985419113,0.7211625652135706,0.648506151142355,0.7486818980667839,0.7926186291739895,0.8383128295254832,0.648506151142355,0.648506151142355,0.24956063268892795,0.7486818980667839,0.15852372583479787,0.7926186291739895,0.08383128295254832,0.8383128295254832,0.7105796858872427,0.7413047836920653,0.714958375328078
2,50,0.648506151142355,0.7539543057996485,0.7855887521968365,0.836555360281195,0.648506151142355,0.648506151142355,0.2513181019332162,0.7539543057996485,0.15711775043936732,0.7855887521968365,0.0836555360281195,0.836555360281195,0.7095928529584065,0.7401128643974898,0.7150052539572563,0.6432337434094904,0.7486818980667839,0.7855887521968365,0.8330404217926186,0.6432337434094904,0.6432337434094904,0.24956063268892795,0.7486818980667839,0.15711775043936727,0.7855887521968365,0.08330404217926185,0.8330404217926186,0.704821184478478,0.7356671810451547,0.709995442908862
2,100,0.6590509666080844,0.7680140597539543,0.7996485061511424,0.8541300527240774,0.6590509666080844,0.6590509666080844,0.2560046865846514,0.7680140597539543,0.15992970123022848,0.7996485061511424,0.08541300527240772,0.8541300527240774,0.7208643680084804,0.7527808704824942,0.7251708598017699,0.6467486818980668,0.7592267135325131,0.7908611599297012,0.836555360281195,0.6467486818980668,0.6467486818980668,0.2530755711775044,0.7592267135325131,0.15817223198594024,0.7908611599297012,0.0836555360281195,0.836555360281195,0.7096751471531789,0.740347627933099,0.7150330908670659
